Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,DQR,Nom et code,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation
11082,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",2.02,"Fleur de sel, non iodée, non fluorée (11082)",0.046244631,0,0.019548837,0.008800472299999999,0.004831530299999999,0
20994,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",2.99,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté (20994)",0.65481156,0.50098699,0.024443288,0.019621411000000002,0.0049809591,0.00040673206999999997
11007,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",2.83,"Gélatine, sèche (11007)",0.19935902,0.027155224999999998,0.010071286,0.0089987799,0.0045364634,0
11006,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",4.31,"Gingembre, poudre (11006)",0.04362768,0,0.050708750999999996,0.032772567,0.0045028964,0
11074,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",3.73,"Gingembre, racine crue (11074)",0.04362768,0,0,0.028752496,0.0045028964,0
20993,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",2.99,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée (20993)",0.65481156,0.50098699,0.024443288,0.046249903,0.0049809591,0.00040673206999999997
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",2.51,"Guacamole, préemballé (25620)",0.22662048,0.036033052,0.018685146,0.032598600000000005,0.0090871221,0.0024548656000000003
20992,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",2.99,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée (20992)",0.65481156,0.50098699,0.024443288,0.019621411000000002,0.0049809591,0.00040673206999999997
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",2.98,Harissa (sauce condimentaire) (11112),0.19845316,0.035953429,0.019548837,0.02455533,0.0092699714,0.0024548656000000003
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",3.13,"Herbes de Provence, séchées (11060)",0.33236753,0,0.050708750999999996,0.014049434,0.0045028964,0
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,2.95,Houmous (25621),0.089486308,0.031439312999999997,0.018685146,0.024314778999999998,0.0090871221,0.0024548656000000003
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,2.76,Ketchup (11008),0.052197584,0.037393484000000005,0.024789357999999997,0.020528356,0.0092699714,0.0024548656000000003
20991,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",2.6,"Kombu breton (Laminaria digitata), séchée ou déshydratée (20991)",0.65481156,0.50098699,0.024443288,0.019621411000000002,0.0049809591,0.00040673206999999997
